City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Guerrero Negro,MX,2022-05-05 22:54:09,27.9769,-114.0611,68.65,64,2,17.0
60,Tual,ID,2022-05-05 22:54:09,-5.6667,132.75,84.92,71,77,15.3
61,Manokwari,ID,2022-05-05 22:47:47,-0.8667,134.0833,81.41,77,92,0.29
62,Lorengau,PG,2022-05-05 22:54:10,-2.0226,147.2712,83.07,82,67,6.24
63,Zharkent,KZ,2022-05-05 22:54:11,44.1628,80.0,61.63,78,100,5.23
64,Schoneiche,DE,2022-05-05 22:54:11,52.4667,13.6833,54.05,72,0,8.05
65,Touros,BR,2022-05-05 22:51:04,-5.1989,-35.4608,76.77,91,100,9.15
66,Bathsheba,BB,2022-05-05 22:54:12,13.2167,-59.5167,81.21,78,20,17.27
67,Dniprorudne,UA,2022-05-05 22:54:12,47.3817,34.9765,51.96,54,91,17.38
68,Paita,PE,2022-05-05 22:54:13,-5.0892,-81.1144,68.2,80,91,15.21
69,Baiyin,CN,2022-05-05 22:54:13,36.5583,104.2081,59.77,44,13,8.81
70,Terra Santa,BR,2022-05-05 22:54:14,-2.1042,-56.4869,77.74,88,24,3.13
71,Saint-Philippe,RE,2022-05-05 22:54:14,-21.3585,55.7679,74.79,86,72,14.81
72,Cidreira,BR,2022-05-05 22:54:15,-30.1811,-50.2056,63.5,70,40,6.67
73,Berekum,GH,2022-05-05 22:54:15,7.4534,-2.584,75.33,78,9,3.6
74,Mar Del Plata,AR,2022-05-05 22:52:00,-38.0023,-57.5575,63.88,70,0,10.36
75,Kununurra,AU,2022-05-05 22:54:16,-15.7667,128.7333,76.98,36,6,8.05
76,Clyde River,CA,2022-05-05 22:54:17,70.4692,-68.5914,25.03,68,0,3.44
77,Marshall,US,2022-05-05 22:54:17,34.3834,-86.3333,85.12,53,0,11.5
78,Hobart,AU,2022-05-05 22:54:18,-42.8794,147.3294,49.86,96,75,6.91
79,Atuona,PF,2022-05-05 22:54:18,-9.8,-139.0333,79.14,78,100,14.92
80,Cuiluan,CN,2022-05-05 22:54:19,47.72,128.648,40.66,96,100,11.1
81,Jamestown,US,2022-05-05 22:52:26,42.097,-79.2353,62.24,55,0,5.75
82,Nome,US,2022-05-05 22:54:19,64.5011,-165.4064,39.16,74,24,7.29
83,Awjilah,LY,2022-05-05 22:54:20,29.1081,21.2869,72.48,26,2,10.09
84,Victoria,HK,2022-05-05 22:52:49,22.2855,114.1577,75.38,84,26,8.99
85,Puerto Ayora,EC,2022-05-05 22:53:21,-0.7393,-90.3518,75.16,90,100,8.23
86,Olafsvik,IS,2022-05-05 22:54:21,64.8945,-23.7142,37.58,75,81,18.25
87,Provideniya,RU,2022-05-05 22:54:21,64.3833,-173.3,30.36,80,75,4.47
88,Ankola,IN,2022-05-05 22:54:22,14.6667,74.3,80.4,81,55,4.74
89,Qingdao,CN,2022-05-05 22:54:22,36.0986,120.3719,60.4,94,50,13.42
90,Shchors,UA,2022-05-05 22:54:23,51.8186,31.945,39.6,72,69,5.5
91,New Norfolk,AU,2022-05-05 22:54:23,-42.7826,147.0587,49.5,89,97,1.01
92,Craigieburn,AU,2022-05-05 22:54:24,-37.6,144.95,48.2,81,40,13.8
93,Bredasdorp,ZA,2022-05-05 22:55:24,-34.5322,20.0403,57.15,94,13,4.32
94,Fairbanks,US,2022-05-05 22:55:25,64.8378,-147.7164,53.94,63,75,8.05
95,Tottori,JP,2022-05-05 22:52:02,35.5,134.2333,66.27,63,20,12.66
96,Adrar,MR,2022-05-05 22:55:25,20.5022,-10.0711,82.58,17,72,11.52
97,Thinadhoo,MV,2022-05-05 22:55:26,0.5333,72.9333,83.3,76,82,11.97
98,Ojinaga,MX,2022-05-05 22:52:25,29.5667,-104.4167,93.58,14,0,8.05
99,Mount Gambier,AU,2022-05-05 22:55:27,-37.8333,140.7667,44.51,100,40,5.75
100,Barao De Melgaco,BR,2022-05-05 22:55:27,-16.1944,-55.9675,66.13,44,2,3.09
101,Terrace,CA,2022-05-05 22:55:28,54.5163,-128.6035,51.71,57,75,6.91
102,Khor,RU,2022-05-05 22:55:28,47.8861,134.9464,60.31,60,100,15.73
103,Sibu,MY,2022-05-05 22:55:29,2.3,111.8167,75.51,100,40,0.0
104,Andros,GR,2022-05-05 22:55:29,37.8333,24.9333,61.36,66,2,7.72
105,Ribeira Grande,PT,2022-05-05 22:55:30,38.5167,-28.7,63.66,84,98,26.64
106,Boa Vista,BR,2022-05-05 22:55:10,2.8197,-60.6733,78.78,83,75,1.14
107,Vila Velha,BR,2022-05-05 22:55:30,-20.3297,-40.2925,78.75,89,75,4.61
108,Port Lincoln,AU,2022-05-05 22:55:31,-34.7333,135.8667,57.16,54,95,8.63
109,Winnemucca,US,2022-05-05 22:55:31,40.973,-117.7357,75.25,15,0,26.46
110,Piedade,BR,2022-05-05 22:55:32,-23.7119,-47.4278,58.15,93,95,5.97
111,Airai,TL,2022-05-05 22:55:33,-8.9266,125.4092,64.17,84,44,2.84
112,Cockburn Town,TC,2022-05-05 22:50:34,21.4612,-71.1419,80.56,69,40,17.27
113,Iqaluit,CA,2022-05-05 22:55:33,63.7506,-68.5145,19.13,73,20,19.57
114,Norman Wells,CA,2022-05-05 22:55:34,65.282,-126.8329,39.24,60,75,16.11
115,Tiksi,RU,2022-05-05 22:55:34,71.6872,128.8694,14.36,90,52,5.17
116,Chupa,RU,2022-05-05 22:55:35,66.27,33.0549,35.35,98,100,8.34
117,Maiduguri,NG,2022-05-05 22:55:35,11.8464,13.1603,91.6,19,88,5.14
118,Iquique,CL,2022-05-05 22:55:36,-20.2208,-70.1431,64.44,82,42,5.99
119,Faya,SA,2022-05-05 22:55:37,18.3851,42.4509,68.11,38,50,3.24
120,Marsh Harbour,BS,2022-05-05 22:55:37,26.5412,-77.0636,77.41,71,10,4.18
121,Saldanha,ZA,2022-05-05 22:55:38,-33.0117,17.9442,55.45,95,40,6.69
122,Pangnirtung,CA,2022-05-05 22:55:38,66.1451,-65.7125,14.0,85,0,3.44
123,Port Hardy,CA,2022-05-05 22:54:58,50.6996,-127.4199,46.58,87,100,8.05
124,Labelle,US,2022-05-05 22:55:39,26.7617,-81.4384,89.67,48,48,6.71
125,Sitka,US,2022-05-05 22:55:39,57.0531,-135.33,44.49,76,100,4.61
126,Zapolyarnyy,RU,2022-05-05 22:55:40,69.4154,30.8136,31.28,98,99,6.73
127,Dikson,RU,2022-05-05 22:55:40,73.5069,80.5464,17.47,93,100,23.51
128,Rawson,AR,2022-05-05 22:55:41,-43.3002,-65.1023,61.11,52,64,9.84
129,San Fernando,PH,2022-05-05 22:55:41,15.0286,120.6898,80.33,69,27,3.78
130,Japura,ID,2022-05-05 22:55:42,-0.3167,102.35,73.9,96,100,1.79
131,Nieuw Amsterdam,SR,2022-05-05 22:55:42,5.8833,-55.0833,84.22,80,20,6.91
132,Ilulissat,GL,2022-05-05 22:55:43,69.2167,-51.1,11.07,79,0,4.5
133,Pevek,RU,2022-05-05 22:55:43,69.7008,170.3133,28.09,91,99,6.69
134,Upata,VE,2022-05-05 22:55:44,8.0086,-62.3989,76.19,84,90,5.01
135,Taveta,KE,2022-05-05 22:55:44,-3.3963,37.6736,68.25,90,78,3.29
136,Springbok,ZA,2022-05-05 22:55:45,-29.6643,17.8865,59.99,40,0,3.56
137,Richards Bay,ZA,2022-05-05 22:55:45,-28.783,32.0377,65.43,94,1,7.14
138,Charapan,MX,2022-05-05 22:56:47,19.6667,-102.2333,77.65,23,49,7.27
139,Kongoussi,BF,2022-05-05 22:56:47,13.3258,-1.5347,92.16,10,95,2.93
140,Zhezkazgan,KZ,2022-05-05 22:56:48,47.8043,67.7144,56.23,64,1,6.49
